Te_K,Tc_K,superheat_K,subcool_K,h1,h2s,h2,h3,Qe,Wc,COP,P1,P3
273.15,308.15,0,0,398603.4536,421623.5571,429296.925,249006.6519,149596.8018,30693.47134,4.873896475,292803.1823,886980.9836
273.15,308.15,0,2.5,398603.4536,421623.5571,429296.925,245350.4409,153253.0127,30693.47134,4.993016625,292803.1823,886980.9836
273.15,308.15,0,5,398603.4536,421623.5571,429296.925,241722.3923,156881.0613,30693.47134,5.111219242,292803.1823,886980.9836
273.15,308.15,0,7.5,398603.4536,421623.5571,429296.925,238121.2296,160482.224,30693.47134,5.228545908,292803.1823,886980.9836
273.15,308.15,0,10,398603.4536,421623.5571,429296.925,234545.7767,164057.6769,30693.47134,5.345034946,292803.1823,886980.9836
273.15,308.15,2.5,0,400055.2854,421202.5735,428251.6695,249006.6519,151048.6335,28196.38414,5.357021411,320263.4909,886980.9836
273.15,308.15,2.5,2.5,400055.2854,421202.5735,428251.6695,245350.4409,154704.8444,28196.38414,5.486690907,320263.4909,886980.9836
273.15,308.15,2.5,5,400055.2854,421202.5735,428251.6695,241722.3923,158332.8931,28196.38414,5.615361612,320263.4909,886980.9836
273.15,308.15,2.5,7.5,400055.2854,421202.5735,428251.6695,238121.2296,161934.0558,28196.38414,5.743078792,320263.4909,886980.9836
273.15,308.15,2.5,10,400055.2854,421202.5735,428251.6695,234545.7767,165509.5087,28196.38414,5.869884163,320263.4909,886980.9836
273.15,308.15,5,0,401492.2905,420805.283,427242.9472,249006.6519,152485.6386,25750.65677,5.921621338,349658.6079,886980.9836
273.15,308.5666667,0,0,398603.4536,421865.8801,429620.0222,249618.8541,148984.5995,31016.56862,4.80338755,292803.1823,897279.9879
273.15,308.5666667,0,2.5,398603.4536,421865.8801,429620.0222,245957.8177,152645.6359,31016.56862,4.921422412,292803.1823,897279.9879
273.15,308.5666667,0,5,398603.4536,421865.8801,429620.0222,242325.1668,156278.2868,31016.56862,5.0385421,292803.1823,897279.9879
273.15,308.5666667,0,7.5,398603.4536,421865.8801,429620.0222,238719.6074,159883.8462,31016.56862,5.154788338,292803.1823,897279.9879
273.15,308.5666667,0,10,398603.4536,421865.8801,429620.0222,235139.9473,163463.5063,31016.56862,5.270199562,292803.1823,897279.9879
273.15,308.5666667,2.5,0,400055.2854,421444.2867,428573.9538,249618.8541,150436.4313,28518.66842,5.275015969,320263.4909,897279.9879
273.15,308.5666667,2.5,2.5,400055.2854,421444.2867,428573.9538,245957.8177,154097.4677,28518.66842,5.403389298,320263.4909,897279.9879
273.15,308.5666667,2.5,5,400055.2854,421444.2867,428573.9538,242325.1668,157730.1186,28518.66842,5.530767295,320263.4909,897279.9879
273.15,308.5666667,2.5,7.5,400055.2854,421444.2867,428573.9538,238719.6074,161335.678,28518.66842,5.657195337,320263.4909,897279.9879
